Student_ID,Name,Gender,Age,Department,Semester,Attendance_Percentage,Internal_Marks,External_Marks,City,Email
1037,Student_37,Female,18,ECE,3,60.91,18.96,66.68,Chennai,student37@college.edu
1038,Student_38,Male,,,8,96.77,10.37,16.37,Bangalore,student38@college.edu
1039,Student_39,Male,22,ECE,4,73.31,,,Kolkata,student39@college.edu
1040,Student_40,Male,23,EEE,5,72.27,8.51,72.55,Bangalore,student40@college.edu
1041,Student_41,Male,21,ME,3,50.73,5.2,64.22,Delhi,student41@college.edu
1042,Student_42,Male,23,ECE,7,62.37,7.98,41.83,Mumbai,student42@college.edu
1043,Student_43,Female,17,EEE,4,,20.52,59.57,Pune,student43@college.edu
1044,Student_44,Female,19,CSE,1,58.23,13.94,64.17,Pune,student44@college.edu
1045,Student_45,Female,24,ME,7,70.76,13.95,32.62,Kolkata,student45@college.edu
1046,Student_46,Female,24,ME,4,50.72,24.1,67.99,Kolkata,student46@college.edu
1047,Student_47,Female,18,CSE,6,73.92,23.39,40.58,Bangalore,student47@college.edu
1048,Student_48,Male,19,EEE,5,51.05,11.22,44.31,Pune,student48@college.edu
1049,Student_49,Female,23,CE,2,90.98,9.18,74.98,Pune,student49@college.edu
1050,Student_50,Female,,CSE,1,91.24,21.97,64.81,Pune,student50@college.edu
1051,Student_51,Male,18,EEE,8,89.39,23.12,,Mumbai,student51@college.edu
1052,Student_52,Female,23,CSE,7,64.17,,10.67,Pune,student52@college.edu
1053,Student_53,Male,22,CSE,7,91.86,17.59,50.7,Delhi,student53@college.edu
1054,Student_54,Female,20,ECE,3,77.15,10.14,55.75,Pune,student54@college.edu
1055,Student_55,Male,23,EEE,5,,21.02,52.3,Delhi,student55@college.edu
1056,Student_56,Female,19,CE,8,81.27,17.64,72.91,Mumbai,student56@college.edu
1057,Student_57,Female,18,ECE,2,50.62,15.07,,Kolkata,student57@college.edu
1058,Student_58,Male,,CSE,4,57.15,6.2,39.17,Delhi,student58@college.edu
1059,Student_59,Male,18,IT,2,87.11,23.32,14.09,Mumbai,student59@college.edu
1060,Student_60,Male,23,CSE,5,62.21,17.31,40.94,Pune,student60@college.edu
1061,Student_61,Male,17,CSE,5,79.9,8.85,54.8,Mumbai,student61@college.edu
1062,Student_62,Male,22,,6,69.26,17.13,49.5,Pune,student62@college.edu
1063,Student_63,Male,23,EEE,6,92.74,18.55,44.98,Bangalore,student63@college.edu
1064,Student_64,Male,,ECE,2,97.62,15.52,40.47,,student64@college.edu
1065,Student_65,Male,19,CE,4,94.18,19.36,,Kolkata,student65@college.edu
1066,Student_66,Female,20,ECE,2,63.53,16.63,28.03,Delhi,student66@college.edu
1067,Student_67,Female,20,ME,5,59.71,23.96,42.52,Bangalore,student67@college.edu
1068,Student_68,Male,21,CSE,5,73.72,6.07,20.44,Kolkata,student68@college.edu
1069,Student_69,Female,18,IT,5,,7.12,32.14,Chennai,student69@college.edu
1070,Student_70,Female,19,CSE,6,51.29,8.47,31.06,Pune,student70@college.edu
1071,Student_71,Female,21,CSE,8,77.66,,48.16,Delhi,student71@college.edu
1072,Student_72,Female,,ECE,8,76.02,17.91,14.33,Kolkata,student72@college.edu
1073,Student_73,Male,24,IT,8,,22.84,63.93,Delhi,student73@college.edu
1074,Student_74,Female,18,IT,3,60.09,19.66,,Chennai,student74@college.edu
1075,Student_75,Male,23,IT,1,62.91,15.17,53.6,Hyderabad,student75@college.edu
1076,Student_76,Female,23,ECE,8,55.68,24.84,55.7,Pune,student76@college.edu
1077,Student_77,Female,20,CSE,5,95.88,10.32,28.95,Pune,student77@college.edu
1078,Student_78,Female,23,ECE,3,88.89,21.66,40.57,Mumbai,student78@college.edu
1079,Student_79,Male,23,EEE,2,91.12,13.54,72.16,Pune,student79@college.edu
1080,Student_80,Female,24,EEE,6,95.14,17.97,59.84,Pune,student80@college.edu
1081,Student_81,Male,17,,6,76.24,19.55,73.02,Kolkata,student81@college.edu
1082,Student_82,Female,20,IT,7,72.56,17.68,,Bangalore,student82@college.edu
1083,Student_83,Male,21,CSE,2,66.52,7.81,21.41,Pune,student83@college.edu
1084,Student_84,Female,22,ECE,4,79.46,13.86,14.19,,student84@college.edu
1085,Student_85,Male,17,ECE,3,72.71,,47.55,Chennai,student85@college.edu
1086,Student_86,Male,21,ECE,7,72.58,21.98,33.26,Bangalore,student86@college.edu
1087,Student_87,Female,18,ME,8,96.85,13.87,27.9,Chennai,student87@college.edu
1088,Student_88,Male,17,EEE,1,99.2,23.37,62.47,Delhi,student88@college.edu
1089,Student_89,Female,24,IT,2,89.82,13.81,33.85,Delhi,student89@college.edu
1090,Student_90,Female,21,CE,2,87.84,15.98,,Pune,student90@college.edu
1091,Student_91,Female,18,IT,2,,20.93,65.25,Pune,student91@college.edu
1092,Student_92,Female,20,CE,4,58.3,16.66,65.01,Mumbai,student92@college.edu
1093,Student_93,Female,,ME,5,52.96,24.2,33.16,Delhi,student93@college.edu
1094,Student_94,Female,18,ECE,2,,18.21,64.11,Kolkata,student94@college.edu
1095,Student_95,Female,23,ME,7,86.44,15.45,65.3,Pune,student95@college.edu
1096,Student_96,Female,19,ME,2,52.35,5.47,37.56,Kolkata,student96@college.edu
1097,Student_97,Female,18,,6,96.4,13.27,14.32,Pune,student97@college.edu
1098,Student_98,Female,18,EEE,8,54.56,,10.1,Kolkata,student98@college.edu
1099,Student_99,Female,22,CE,1,64.3,19.96,44.01,Hyderabad,student99@college.edu
1100,Student_100,Male,19,ECE,8,83.62,9.17,,Kolkata,student100@college.edu
1101,Student_101,Male,23,,6,58.49,9.1,74.81,Bangalore,student101@college.edu
1102,Student_102,Female,21,IT,6,52.77,8.79,60.21,Delhi,student102@college.edu
1103,Student_103,Female,21,CE,1,,,59.48,Pune,student103@college.edu
1104,Student_104,Female,18,IT,7,88.3,11.22,72.09,Delhi,student104@college.edu
1105,Student_105,Female,24,EEE,3,70.68,22.72,67.7,Bangalore,student105@college.edu
1106,Student_106,Female,24,,6,82.65,20.5,30.68,Bangalore,student106@college.edu
1107,Student_107,Female,19,CE,3,78.98,19.71,20.79,Kolkata,student107@college.edu
1108,Student_108,Female,19,CE,6,51.11,20.95,58.48,Chennai,student108@college.edu
1109,Student_109,Female,23,IT,5,99.43,10.39,34.59,Chennai,student109@college.edu
1110,Student_110,Male,22,ME,1,52.07,22.75,40.76,,student110@college.edu
1111,Student_111,Female,20,EEE,6,98.39,7.75,,Chennai,student111@college.edu
1112,Student_112,Male,21,CSE,5,77.49,11.73,69.01,Pune,student112@college.edu
1113,Student_113,Female,22,ECE,8,98.16,,37.24,Mumbai,student113@college.edu
1114,Student_114,Female,17,CE,4,55.74,7.06,60.92,Hyderabad,student114@college.edu
1115,Student_115,Male,21,ECE,5,74.52,19.6,27.44,Kolkata,student115@college.edu
1116,Student_116,Female,22,,2,,12.74,55.37,Mumbai,student116@college.edu
1117,Student_117,Male,21,ECE,6,52.55,20.69,10.1,Chennai,student117@college.edu
1118,Student_118,Female,20,CSE,5,80.88,14.86,66.65,Kolkata,student118@college.edu
1119,Student_119,Female,17,IT,3,60.39,8.62,11.97,Mumbai,student119@college.edu
1120,Student_120,Male,24,ME,4,79.38,19.7,56.33,Delhi,student120@college.edu
1121,Student_121,Female,24,CE,7,55.62,,,Chennai,student121@college.edu
1122,Student_122,Male,20,CSE,6,66.6,14.82,27.31,Mumbai,student122@college.edu
1123,Student_123,Female,23,ECE,2,89.08,6.51,42.32,Pune,student123@college.edu
1124,Student_124,Male,17,CE,7,71.85,17.36,37.3,Delhi,student124@college.edu
1125,Student_125,Male,18,ME,5,,18.32,22.47,Chennai,student125@college.edu
1126,Student_126,Female,22,,7,82.37,12.57,31.7,Hyderabad,student126@college.edu
1127,Student_127,Female,17,CE,7,92.19,24.09,57.3,Bangalore,student127@college.edu
1128,Student_128,Male,23,CSE,4,66.25,22.48,53.5,Chennai,student128@college.edu
1129,Student_129,Female,23,ME,8,84.36,19.16,14.67,Pune,student129@college.edu
1130,Student_130,Female,20,ECE,7,98.08,,58.58,Hyderabad,student130@college.edu
1131,Student_131,Female,21,ME,7,86.51,10.05,13.45,Hyderabad,student131@college.edu
1132,Student_132,Male,17,ME,6,74.49,18.14,45.29,Hyderabad,student132@college.edu
1133,Student_133,Male,22,EEE,8,81.54,8.96,,Kolkata,student133@college.edu
1134,Student_134,Male,17,ME,4,86.98,7.88,48.2,Kolkata,student134@college.edu
1135,Student_135,Male,19,,2,80.61,24.99,26.99,Bangalore,student135@college.edu
1136,Student_136,Male,,CE,5,,17.45,74.02,Hyderabad,student136@college.edu
1137,Student_137,Male,22,ECE,4,59.74,13.62,30.13,Bangalore,student137@college.edu
1138,Student_138,Male,24,CE,4,90.52,,25.73,Delhi,student138@college.edu
1139,Student_139,Male,22,CE,1,63.63,17.08,28.1,,student139@college.edu
1140,Student_140,Male,18,CSE,4,86.58,5.99,68.27,Mumbai,student140@college.edu
1141,Student_141,Female,20,CE,8,68.61,6.89,51.35,Hyderabad,student141@college.edu
1142,Student_142,Male,,EEE,1,76.09,5.66,57.49,Kolkata,student142@college.edu
1143,Student_143,Female,22,EEE,5,53.4,14.98,69.67,Kolkata,student143@college.edu
1144,Student_144,Female,21,CSE,7,59.06,17.01,,Mumbai,student144@college.edu
1145,Student_145,Female,17,IT,6,97.86,6.25,58.03,Mumbai,student145@college.edu
1146,Student_146,Male,24,ECE,6,94.51,19.42,22.86,Chennai,student146@college.edu
1147,Student_147,Male,17,ECE,5,,,64.82,Delhi,student147@college.edu
1148,Student_148,Male,21,,5,72.98,18.7,23.25,Delhi,student148@college.edu
1149,Student_149,Male,22,CE,8,83.79,24.64,58.29,Delhi,student149@college.edu
1150,Student_150,Female,23,IT,3,80.93,18.82,54.56,Pune,student150@college.edu
1151,Student_151,Male,17,CE,7,78.43,22.66,59.33,Kolkata,student151@college.edu
1152,Student_152,Male,23,ECE,5,52.96,23.96,44.62,Delhi,student152@college.edu
1153,Student_153,Male,17,ME,4,81.64,14.74,51.52,Chennai,student153@college.edu
1154,Student_154,Male,17,EEE,8,88.45,19.05,71.97,Chennai,student154@college.edu
1155,Student_155,Male,24,ME,6,99.7,,16.57,Delhi,student155@college.edu
1156,Student_156,Female,,ME,2,50.55,12.13,,Mumbai,student156@college.edu
1157,Student_157,Male,20,ECE,8,86.51,10.23,49.74,Chennai,student157@college.edu
1158,Student_158,Female,19,ME,6,78.59,23.93,72.66,Bangalore,student158@college.edu
1159,Student_159,Male,18,IT,1,,19.53,16.21,Mumbai,student159@college.edu
1160,Student_160,Female,21,CSE,8,56.38,9.39,11.47,Bangalore,student160@college.edu
1161,Student_161,Male,21,,6,70.45,13.98,13.62,Kolkata,student161@college.edu
1162,Student_162,Male,21,CSE,3,67.72,,13.41,Pune,student162@college.edu
1163,Student_163,Female,19,EEE,8,65.14,15.94,69.01,Chennai,student163@college.edu
1164,Student_164,Female,20,CE,8,86.54,18,56.88,Mumbai,student164@college.edu
1165,Student_165,Female,22,ME,7,85.04,20.08,54.01,Bangalore,student165@college.edu
1166,Student_166,Male,23,EEE,5,79.45,17.44,,Delhi,student166@college.edu
1167,Student_167,Female,24,CE,7,96.93,15.8,60.83,Bangalore,student167@college.edu
1168,Student_168,Male,23,IT,8,67.49,19.99,20.12,Bangalore,student168@college.edu
1169,Student_169,Male,22,IT,5,62.19,19.55,35.48,Kolkata,student169@college.edu
1170,Student_170,Female,24,IT,6,82.8,17.6,41.85,Hyderabad,student170@college.edu
1171,Student_171,Female,19,IT,2,,12.2,17.18,Hyderabad,student171@college.edu
1172,Student_172,Male,22,ME,2,65.75,13.12,37.27,Delhi,student172@college.edu
1173,Student_173,Male,21,CSE,8,61.23,,30.57,Kolkata,student173@college.edu
1174,Student_174,Female,18,CE,3,53.46,7.25,12.31,Kolkata,student174@college.edu
1175,Student_175,Female,17,ME,1,91.37,10.37,18.89,,student175@college.edu
1176,Student_176,Female,23,IT,6,62.73,14.85,59.66,Kolkata,student176@college.edu
1177,Student_177,Male,20,,5,73.65,21.73,,Hyderabad,student177@college.edu
1178,Student_178,Male,20,EEE,8,52.17,8.27,70.73,Mumbai,student178@college.edu
1179,Student_179,Male,19,EEE,6,84.97,10.54,15.62,Kolkata,student179@college.edu
1180,Student_180,Male,,EEE,8,66.53,6.32,61.95,Mumbai,student180@college.edu
1181,Student_181,Male,20,IT,3,,,68.41,Bangalore,student181@college.edu
1182,Student_182,Male,21,EEE,4,70.62,9.76,71.17,Bangalore,student182@college.edu
1183,Student_183,Female,23,ECE,4,59.79,12.77,66.39,Kolkata,student183@college.edu
1184,Student_184,Male,22,CE,3,75.66,13.87,28.69,Chennai,student184@college.edu
1185,Student_185,Male,21,CE,5,56.53,22.83,31.65,Pune,student185@college.edu
1186,Student_186,Male,19,IT,7,72.03,13.23,37.73,Chennai,student186@college.edu
1187,Student_187,Female,21,ECE,3,65.87,7.9,19.05,Bangalore,student187@college.edu
1188,Student_188,Male,22,ME,8,95.6,15.49,,Pune,student188@college.edu
1189,Student_189,Male,18,ME,5,,24.26,66.49,Chennai,student189@college.edu
1190,Student_190,Female,,EEE,2,84.7,17.15,46.02,Kolkata,student190@college.edu
1191,Student_191,Male,18,CSE,3,59.14,,49.57,Mumbai,student191@college.edu
1192,Student_192,Male,17,ME,5,65.95,21.82,70.25,Pune,student192@college.edu
1193,Student_193,Male,18,CSE,3,70.78,5.72,53.23,Hyderabad,student193@college.edu
1194,Student_194,Male,17,CE,3,95.4,18.17,54.91,Delhi,student194@college.edu
1195,Student_195,Male,17,CSE,7,62.13,10.74,61.15,Pune,student195@college.edu
1196,Student_196,Female,18,,7,54.57,16.19,17.56,Pune,student196@college.edu
1197,Student_197,Female,19,ECE,8,65.93,10.59,33.41,Hyderabad,student197@college.edu
1198,Student_198,Female,24,ECE,5,55.23,11.98,,Kolkata,student198@college.edu
1199,Student_199,Male,22,IT,5,56.43,,69.99,Chennai,student199@college.edu
1200,Student_200,Male,21,IT,1,78.69,9.13,67.46,Chennai,student200@college.edu
1201,Student_201,Male,,EEE,3,53.05,22.48,39.39,,student201@college.edu
1202,Student_202,Female,22,,4,,5.61,65.72,Mumbai,student202@college.edu
1203,Student_203,Male,23,EEE,3,85.72,6.82,13.15,Kolkata,student203@college.edu
1204,Student_204,Male,23,CE,3,68.08,22.09,19.65,Hyderabad,student204@college.edu
1205,Student_205,Female,17,EEE,5,56.27,17.61,36.91,Kolkata,student205@college.edu
1206,Student_206,Male,17,CSE,3,62.68,19.94,41.42,Kolkata,student206@college.edu
1207,Student_207,Female,19,CE,6,82.1,9.19,27.13,Chennai,student207@college.edu
1208,Student_208,Female,20,IT,3,63.78,15.74,,Hyderabad,student208@college.edu
1209,Student_209,Female,18,ECE,6,74.73,,20.58,Delhi,student209@college.edu
1210,Student_210,Male,,IT,7,56.08,17.55,41.79,Pune,student210@college.edu
1211,Student_211,Male,21,ME,4,79.4,14.43,61.6,Chennai,student211@college.edu
1212,Student_212,Male,19,CE,8,65.8,24.2,52.99,Hyderabad,student212@college.edu
1213,Student_213,Male,18,CE,5,,18.52,17.01,Mumbai,student213@college.edu
1214,Student_214,Male,19,CSE,3,90.42,23.16,41.69,Pune,student214@college.edu
1215,Student_215,Male,18,ME,6,80.58,19.6,55.35,Pune,student215@college.edu
1216,Student_216,Male,18,,6,64.79,19.71,44.44,Chennai,student216@college.edu
1217,Student_217,Female,22,CE,7,62.79,6.6,35.46,Bangalore,student217@college.edu
1218,Student_218,Male,17,CE,6,66.37,12.19,50.42,Mumbai,student218@college.edu
1219,Student_219,Female,24,CSE,8,58.23,,72.96,Chennai,student219@college.edu
1220,Student_220,Male,19,EEE,2,59.06,9.65,,Kolkata,student220@college.edu
1221,Student_221,Male,,ECE,1,89.53,7.31,35.35,Bangalore,student221@college.edu
1222,Student_222,Male,19,IT,8,69.24,11.52,36.43,Hyderabad,student222@college.edu
1223,Student_223,Female,22,ME,4,71.8,9.41,47.5,Mumbai,student223@college.edu
1224,Student_224,Female,21,CE,8,,23.51,19.89,Pune,student224@college.edu
1225,Student_225,Female,24,CE,7,79.48,22.36,21.48,Chennai,student225@college.edu
1226,Student_226,Female,21,,7,53.37,14.99,28.55,Pune,student226@college.edu
1227,Student_227,Male,23,ECE,8,91.58,6.23,72.13,Mumbai,student227@college.edu
1228,Student_228,Female,17,EEE,3,58.87,19.29,57.72,Pune,student228@college.edu
1229,Student_229,Male,17,CE,2,86.15,17.47,53.01,Chennai,student229@college.edu
1230,Student_230,Male,20,ECE,3,88.63,,63.1,Bangalore,student230@college.edu
1231,Student_231,Female,22,IT,3,85.74,16.18,,Chennai,student231@college.edu
1232,Student_232,Female,21,CSE,8,78.95,11.73,65.86,Delhi,student232@college.edu
1233,Student_233,Female,18,EEE,5,50.73,15.38,48.66,Pune,student233@college.edu
1234,Student_234,Female,19,ME,5,68.02,24.59,31.8,Delhi,student234@college.edu
1235,Student_235,Female,17,CE,5,80.24,18.93,63.03,Bangalore,student235@college.edu
1236,Student_236,Female,24,ECE,2,69.37,18.44,62.17,Delhi,student236@college.edu
1237,Student_237,Female,19,CSE,3,,9.81,64.97,Pune,student237@college.edu
1238,Student_238,Female,19,ME,1,65.44,19.87,17.51,Mumbai,student238@college.edu
1239,Student_239,Male,20,ECE,4,64.68,20.01,73.01,Kolkata,student239@college.edu
1240,Student_240,Female,21,ECE,5,63.3,11.35,72.38,Bangalore,student240@college.edu
1241,Student_241,Female,17,ME,5,66.64,,,Chennai,student241@college.edu
1242,Student_242,Male,19,CSE,7,77.87,10.89,14.28,Hyderabad,student242@college.edu
1243,Student_243,Female,17,IT,3,85.35,10.17,20.86,Bangalore,student243@college.edu
1244,Student_244,Male,18,CSE,3,83.13,5.52,74.53,Delhi,student244@college.edu
1245,Student_245,Male,20,EEE,2,90.39,10.7,46.6,,student245@college.edu
1246,Student_246,Female,18,CE,2,94.3,16.08,33.18,Pune,student246@college.edu
1247,Student_247,Male,17,ME,5,90.8,5.03,28.73,Mumbai,student247@college.edu
1248,Student_248,Male,23,IT,3,50.95,10.66,26.7,Mumbai,student248@college.edu
1249,Student_249,Male,24,ME,1,86.8,22.63,53.17,Pune,student249@college.edu
1250,Student_250,Male,17,ME,4,,,37.26,Hyderabad,student250@college.edu
1251,Student_251,Female,21,CSE,8,56.65,17.16,72.75,Pune,student251@college.edu
1252,Student_252,Male,19,CE,3,81.92,13.07,54.45,Hyderabad,student252@college.edu
1253,Student_253,Female,19,EEE,7,65.99,18.53,,Pune,student253@college.edu
1254,Student_254,Male,18,ECE,8,52.86,8.8,29.03,Delhi,student254@college.edu
1255,Student_255,Male,24,ECE,3,56.88,21.37,15.15,Hyderabad,student255@college.edu
1256,Student_256,Male,20,ME,6,50.05,7.33,41.71,Delhi,student256@college.edu
1257,Student_257,Male,23,CE,2,95.16,18.12,30.45,Bangalore,student257@college.edu
1258,Student_258,Female,22,IT,7,51.23,11.82,23.14,Hyderabad,student258@college.edu
1259,Student_259,Female,24,CSE,4,60.47,19.95,71.92,Hyderabad,student259@college.edu
1260,Student_260,Male,19,CE,5,70.81,16,38.86,Pune,student260@college.edu
1261,Student_261,Male,21,CE,7,67.83,,21.36,Hyderabad,student261@college.edu
1262,Student_262,Female,24,CSE,3,95.59,8.39,22.91,Delhi,student262@college.edu
1263,Student_263,Male,18,ME,5,,17.74,,Bangalore,student263@college.edu
1264,Student_264,Male,18,CE,3,75.61,24.5,74.96,Pune,student264@college.edu
1265,Student_265,Male,22,ECE,5,84.02,21.51,27.42,Chennai,student265@college.edu
1266,Student_266,Female,21,CSE,4,96.58,6.2,31.37,Bangalore,student266@college.edu
1267,Student_267,Female,20,IT,2,81.02,12.52,52.86,Bangalore,student267@college.edu
1268,Student_268,Female,24,EEE,4,90.19,23.51,29.11,Delhi,student268@college.edu
1269,Student_269,Male,21,ME,6,54.19,15.06,24.03,Bangalore,student269@college.edu
1270,Student_270,Male,20,CSE,1,69.3,,20.31,Chennai,student270@college.edu
1271,Student_271,Female,21,EEE,2,68.7,23.25,30.32,Mumbai,student271@college.edu
1272,Student_272,Female,21,EEE,4,94.31,22.48,,Pune,student272@college.edu
1273,Student_273,Female,17,IT,6,,15.04,11.21,Mumbai,student273@college.edu
1274,Student_274,Female,18,CE,1,57.59,13.75,62.3,Pune,student274@college.edu
1275,Student_275,Male,24,IT,6,66.43,11.79,18.96,Bangalore,student275@college.edu
1276,Student_276,Female,21,CE,3,52.72,19.38,60.44,Pune,student276@college.edu
1277,Student_277,Male,24,CE,8,59.12,10.74,61.84,Delhi,student277@college.edu
1278,Student_278,Female,22,CSE,3,98.26,10,44.96,Chennai,student278@college.edu
1279,Student_279,Male,21,CSE,5,71.41,,30.13,Pune,student279@college.edu
1280,Student_280,Female,19,ME,2,81.6,8.54,,Chennai,student280@college.edu
1281,Student_281,Female,18,CE,3,86.31,18.9,57.89,Pune,student281@college.edu
1282,Student_282,Female,19,EEE,7,68.35,17.32,49.09,Chennai,student282@college.edu
1283,Student_283,Female,24,ECE,6,57.36,14.66,52.6,Mumbai,student283@college.edu
1284,Student_284,Male,24,ME,2,,12.81,10.56,Delhi,student284@college.edu
1285,Student_285,Female,18,CSE,8,65.66,23.18,70.29,Pune,student285@college.edu
1286,Student_286,Male,24,IT,7,81.8,5.58,14.31,Kolkata,student286@college.edu
1287,Student_287,Male,19,ME,3,69.91,20.38,33.84,Chennai,student287@college.edu
1288,Student_288,Male,21,ME,5,50.34,23.04,36.18,Chennai,student288@college.edu
1289,Student_289,Male,21,ME,4,76.17,,10.09,Kolkata,student289@college.edu
1290,Student_290,Female,17,ME,5,96.08,16.01,,Delhi,student290@college.edu
1291,Student_291,Male,22,ECE,7,90.6,23.89,58.93,Chennai,student291@college.edu
1292,Student_292,Male,24,IT,1,91.26,9.25,63.51,Delhi,student292@college.edu
1293,Student_293,Male,19,IT,3,89.75,,67.16,Chennai,student293@college.edu
1294,Student_294,Female,24,IT,7,66.19,14.49,41.7,Bangalore,student294@college.edu
1295,Student_295,Female,24,CE,1,,10.17,50.99,Hyderabad,student295@college.edu
1296,Student_296,Female,20,EEE,1,57.16,21.37,15.17,Bangalore,student296@college.edu
1297,Student_297,Female,17,IT,6,82.89,22.99,41.72,Chennai,student297@college.edu
1298,Student_298,Male,19,ME,2,82.08,20.64,20.06,Hyderabad,student298@college.edu
1299,Student_299,Male,19,ME,6,51.28,8.91,34.03,,student299@college.edu
1300,Student_300,Female,24,IT,3,89.4,6.73,31.4,Delhi,student300@college.edu
1301,Student_301,Male,17,IT,1,95.16,,,Chennai,student301@college.edu
1302,Student_302,Male,21,ME,8,63.37,6.14,47.16,Mumbai,student302@college.edu
1303,Student_303,Male,19,CE,7,90.62,18.46,68.69,Mumbai,student303@college.edu
1304,Student_304,Female,21,CSE,4,54.12,15.61,35.64,Kolkata,student304@college.edu
1305,Student_305,Female,17,CSE,1,80,18.26,73.77,Mumbai,student305@college.edu
1306,Student_306,Male,21,IT,7,74.28,16.8,59.34,Hyderabad,student306@college.edu
1307,Student_307,Female,18,ECE,8,,13.45,43.25,Mumbai,student307@college.edu
1308,Student_308,Female,20,IT,4,96.31,9.02,,Mumbai,student308@college.edu
1309,Student_309,Female,23,IT,6,93.57,11.11,16.64,Mumbai,student309@college.edu
1310,Student_310,Female,19,CSE,6,89.25,,64.89,Chennai,student310@college.edu
1311,Student_311,Female,22,ME,2,63.68,18.04,47.85,Kolkata,student311@college.edu
1312,Student_312,Male,20,IT,7,95.59,20.59,74.09,Delhi,student312@college.edu
1313,Student_313,Female,23,ME,1,54.88,20.34,51.37,Kolkata,student313@college.edu
1314,Student_314,Male,21,ME,5,92.67,24.45,64.22,Hyderabad,student314@college.edu
1315,Student_315,Male,19,ECE,6,66.41,10.72,61.98,Chennai,student315@college.edu
1316,Student_316,Female,21,ME,6,52.69,6.42,32.45,Pune,student316@college.edu
1317,Student_317,Male,18,CSE,2,,11.91,,Chennai,student317@college.edu
1318,Student_318,Male,17,CE,4,61.56,19.87,37.98,Bangalore,student318@college.edu
1319,Student_319,Male,19,CE,2,62.18,,40.37,Mumbai,student319@college.edu
1320,Student_320,Female,23,EEE,8,65.3,21.36,25.61,Mumbai,student320@college.edu
1321,Student_321,Female,23,IT,1,53.18,15.99,68.15,Hyderabad,student321@college.edu
1322,Student_322,Male,18,CSE,7,58.86,23.6,45.27,Pune,student322@college.edu
1323,Student_323,Female,18,ME,3,50.26,23.96,73.6,Bangalore,student323@college.edu
1324,Student_324,Female,24,CE,3,72.27,6.39,62.65,Chennai,student324@college.edu
1325,Student_325,Female,19,CSE,7,,14.13,46.12,Pune,student325@college.edu
